GRE Score,TOEFL Score,Admission_Phd
337,118,1
324,107,1
316,104,1
322,110,1
314,103,0
330,115,1
321,109,1
308,101,0
302,102,0
323,108,0
325,106,1
327,111,1
328,112,1
307,109,1
311,104,1
314,105,0
317,107,0
319,106,1
318,110,0
303,102,0
312,107,1
325,114,0
328,116,1
334,119,1
336,119,1
340,120,1
322,109,0
298,98,1
295,93,0
310,99,0
300,97,1
327,103,1
338,118,1
340,114,1
331,112,1
320,110,1
299,106,0
300,105,0
304,105,0
307,108,0
308,110,1
316,105,1
313,107,1
332,117,0
326,113,1
322,110,1
329,114,1
339,119,0
321,110,1
327,111,1
313,98,1
312,100,1
334,116,1
324,112,1
322,110,0
320,103,0
316,102,0
298,99,0
300,99,1
311,104,0
309,100,0
307,101,0
304,105,1
315,107,1
325,111,0
325,112,0
327,114,0
316,107,1
318,109,1
328,115,1
332,118,1
336,112,1
321,111,1
314,108,1
314,106,0
329,114,1
327,112,1
301,99,0
296,95,1
294,93,0
312,105,1
340,120,1
320,110,1
322,115,1
340,115,1
319,103,0
315,106,0
317,107,0
314,108,0
316,109,1
318,106,1
299,97,0
298,98,0
301,97,1
303,99,0
304,100,0
306,100,0
331,120,1
332,119,1
323,113,1
322,107,1
312,105,0
314,106,0
317,104,0
326,112,1
316,110,1
329,111,1
338,117,1
331,116,1
304,103,0
305,108,0
321,109,1
301,107,1
320,110,0
311,105,1
310,106,1
299,102,0
290,104,0
296,99,0
327,104,1
335,117,1
334,119,1
310,106,0
308,108,0
301,106,0
300,100,1
323,113,1
319,112,1
326,112,1
333,118,1
339,114,1
303,105,0
309,105,0
323,112,0
333,113,1
314,109,1
312,103,0
316,100,1
326,116,1
318,109,0
329,110,1
332,118,1
331,115,1
340,120,1
325,112,1
320,113,1
315,105,0
326,114,1
339,116,1
311,106,1
334,114,1
332,116,1
321,112,1
324,105,0
326,108,0
312,109,0
315,105,0
309,104,0
306,106,0
297,100,0
315,103,0
298,99,0
318,109,0
317,105,0
329,111,1
322,110,0
302,102,0
313,102,0
293,97,1
311,99,0
312,101,1
334,117,1
322,110,1
323,113,1
321,111,1
320,111,1
329,119,1
319,110,0
309,108,0
307,102,0
300,104,0
305,107,0
299,100,0
314,110,0
316,106,0
327,113,1
317,107,1
335,118,1
331,115,1
324,112,1
324,111,1
323,110,1
322,114,1
336,118,1
316,109,0
307,107,1
306,105,0
310,106,0
311,104,0
313,107,0
317,103,1
315,110,1
340,120,1
334,120,1
298,105,0
295,99,0
315,99,0
310,102,1
305,106,0
301,104,1
325,108,1
328,110,1
338,120,1
333,119,1
331,117,1
330,116,1
322,112,1
321,109,1
324,110,1
312,104,0
313,103,0
316,110,0
324,113,0
308,109,0
305,105,0
296,99,0
306,110,0
312,110,0
318,112,0
324,111,1
313,104,0
319,106,1
312,107,0
304,100,0
330,113,1
326,111,1
325,112,1
329,114,1
310,104,0
299,100,0
296,101,0
317,103,0
324,115,1
325,114,1
314,107,0
328,110,1
316,105,0
311,104,0
324,110,1
321,111,1
320,104,1
316,99,0
318,100,1
335,115,1
321,114,0
307,110,0
309,99,0
324,100,1
326,102,1
331,119,1
327,108,1
312,104,0
308,103,1
324,111,1
325,110,1
313,102,0
312,105,0
314,107,1
327,113,0
308,108,0
306,105,1
299,96,0
294,95,0
312,99,1
315,100,0
322,110,1
329,113,1
320,101,0
308,103,0
304,102,0
311,102,1
317,110,1
312,106,1
321,111,1
340,112,1
331,116,1
336,118,1
324,114,1
314,104,0
313,109,0
307,105,0
300,102,0
302,99,0
312,98,1
316,101,1
317,100,0
310,107,0
320,120,0
330,114,1
305,112,0
309,106,0
319,108,0
322,105,1
323,107,1
313,106,0
321,109,1
323,110,1
325,112,1
312,108,0
308,110,0
320,104,1
328,108,1
311,107,1
301,100,0
305,105,0
308,104,0
298,101,0
300,99,0
324,111,1
327,113,1
317,106,1
323,104,1
314,107,0
305,102,0
315,104,0
326,116,1
299,100,0
295,101,0
324,112,1
297,96,0
327,113,1
311,105,1
308,106,1
319,108,1
312,107,1
325,111,1
319,110,0
332,118,1
323,108,1
324,107,1
312,107,1
326,110,1
308,106,0
305,103,0
295,96,0
316,98,0
304,97,0
299,94,0
302,99,0
313,101,0
318,107,1
325,110,1
303,100,1
300,102,0
297,98,0
317,106,0
327,109,1
301,104,1
314,105,0
321,107,0
322,110,1
334,116,1
338,115,1
306,103,0
313,102,1
330,114,1
320,104,1
311,98,0
298,92,0
301,98,1
310,103,0
324,110,1
336,119,1
321,109,1
315,105,0
304,101,0
297,96,0
290,100,0
303,98,0
311,99,1
322,104,1
319,105,1
324,110,1
300,100,0
340,113,1
335,117,1
302,101,0
307,105,0
296,97,0
320,108,1
314,102,0
318,106,0
326,112,1
317,104,0
329,111,1
324,110,1
325,107,1
330,116,1
312,103,0
333,117,1
